uid,uid_idx,B,p_min_hat,p_min_lb,sigma_min_hat,sigma_min_lb,eps_ub,M_u,eligible
AHV6H47Q27APRA4MHJXBNUXX6UEA,0,5142,0.016472,0.000000,0.981321,0.956066,0.041439,-0.041439,False
AHCKJN7BM7AH67UDRPN3CVNHHRTA,1,4692,0.018504,0.000000,0.981161,0.957087,0.043334,-0.043334,False
AHUBGR64B3GHNP33IYL4RW6YNIGQ,2,5577,0.016776,0.000000,0.981711,0.958056,0.039707,-0.039707,False
AEIJL24A6RZD6PE4LFOYLHMB5BOA,3,4095,0.017241,0.000000,0.981193,0.957036,0.046388,-0.046388,False
AGAG2PQ2KCR5GMH3CMIBKCBOZQSQ,4,8091,0.021277,0.000000,0.982760,0.961160,0.032860,-0.032860,False
AG2YYEC55OFZYRI6WAZ4A3267W2Q,5,6195,0.019430,0.000000,0.982231,0.959075,0.037635,-0.037635,False
AHUX7IEXVU62RIOMQQ773RNTZ7EQ,6,10414,0.018937,0.000000,0.981532,0.956066,0.029118,-0.029118,False
AFL5V4KMZMLILUIYATP7RHN2BTUA,7,5061,0.018077,0.000000,0.981798,0.957087,0.041725,-0.041725,False
AFCHDDQ4PQGOSYA66FSK4KUAOUDA,8,9077,0.019493,0.000000,0.981795,0.959126,0.031090,-0.031090,False
AEPSNPZWAOSASXZW6F6GJZD4RZ6Q,9,5959,0.018930,0.000000,0.982266,0.958107,0.038411,-0.038411,False
AEBRHRPGW3XTHRIST5JBCSBRV2YQ,10,3591,0.015993,0.000000,0.979964,0.951972,0.049800,-0.049800,False
AEGZSPOEFGEEXIKTIPZ62HCJJILA,11,5752,0.019809,0.000000,0.982391,0.960143,0.039014,-0.039014,False
AFLQ6X2P5FJIO6BG25LEO5BY6NUQ,12,4830,0.018068,0.000000,0.980918,0.955044,0.042802,-0.042802,False
AF6QHJSY6N5MMHTC5L26QOTX6K3Q,13,40652,0.018904,0.008521,0.982246,0.959126,0.014691,-0.006852,False
AE65YJ4S74KNCPHITVS2RGW6HZMA,14,5087,0.019169,0.000000,0.981591,0.957087,0.041618,-0.041618,False
AE5ENPQDNKIJMBAKVDSJOTU573YA,15,19797,0.019612,0.004734,0.982702,0.959075,0.021053,-0.016698,False
AE5QZEEWDFEG5S46RP5DHOGQFFPQ,16,6245,0.019231,0.000000,0.981631,0.957087,0.037562,-0.037562,False
AFDRY7B5ON4J7XFAJOTBQNWCAPPQ,17,6808,0.018270,0.000000,0.982112,0.959075,0.035900,-0.035900,False
AGUJGT64W3FGFMJTIJBYJFPLUDAA,18,11457,0.019184,0.000000,0.982695,0.958107,0.027702,-0.027702,False
AGAMBW4YURLNKK5KW5EDKDC2ZMOA,19,5520,0.019001,0.000000,0.982435,0.958107,0.039910,-0.039910,False
AGHCMB24BP3XPSVIJJ24BNYUF3KQ,20,10049,0.019540,0.000000,0.982185,0.958107,0.029579,-0.029579,False
AGT2KDRLM26MXIDQTURAONUUC3YQ,21,5432,0.020260,0.000000,0.982665,0.961160,0.040104,-0.040104,False
AEOOVIA4OZ4YXXMOX52QKRFPI44A,22,10894,0.018678,0.000000,0.981585,0.959126,0.028379,-0.028379,False
AFWAQN3ITXKIYH3ZEARLO7PJLINQ,23,11397,0.020898,0.001289,0.982467,0.959075,0.027747,-0.026561,False
AFUU7IDCZCKYQN4XFG2NUS2SB4MQ,24,11972,0.019367,0.000236,0.982114,0.959126,0.027071,-0.026854,False
AHQLV6Q4IX2WPEFGJW3HFIYXCYIQ,25,16572,0.019802,0.003541,0.982704,0.959126,0.023009,-0.019752,False
