uid,uid_idx,B_A,B_B,p_min_B_hat,p_min_B_lb,sigma_min_B_hat,sigma_min_B_lb,eps_ub_B,M_u_cert,B_required,fail_reason,eligible
AHV6H47Q27APRA4MHJXBNUXX6UEA,0,1796,3346,0.008979,0.000000,0.980081,0.957087,0.051315,-0.051315,inf,p_lb=0,False
AHCKJN7BM7AH67UDRPN3CVNHHRTA,1,2435,2257,0.007168,0.000000,0.980115,0.956066,0.062547,-0.062547,inf,p_lb=0,False
AHUBGR64B3GHNP33IYL4RW6YNIGQ,2,2923,2654,0.008091,0.000000,0.980059,0.955044,0.057741,-0.057741,inf,p_lb=0,False
AEIJL24A6RZD6PE4LFOYLHMB5BOA,3,2151,1944,0.009091,0.000000,0.980005,0.958056,0.067255,-0.067255,inf,p_lb=0,False
AGAG2PQ2KCR5GMH3CMIBKCBOZQSQ,4,3782,4309,0.012672,0.000000,0.982225,0.956066,0.045267,-0.045267,inf,p_lb=0,False
AG2YYEC55OFZYRI6WAZ4A3267W2Q,5,2997,3198,0.011321,0.000000,0.981524,0.957036,0.052492,-0.052492,inf,p_lb=0,False
AHUX7IEXVU62RIOMQQ773RNTZ7EQ,6,5341,5073,0.015221,0.000000,0.981708,0.957087,0.041675,-0.041675,inf,p_lb=0,False
AFL5V4KMZMLILUIYATP7RHN2BTUA,7,2527,2534,0.010234,0.000000,0.980677,0.957087,0.058967,-0.058967,inf,p_lb=0,False
AFCHDDQ4PQGOSYA66FSK4KUAOUDA,8,4428,4649,0.010797,0.000000,0.981363,0.957036,0.043536,-0.043536,inf,p_lb=0,False
AEPSNPZWAOSASXZW6F6GJZD4RZ6Q,9,3271,2688,0.014472,0.000000,0.981381,0.957036,0.057256,-0.057256,inf,p_lb=0,False
AEBRHRPGW3XTHRIST5JBCSBRV2YQ,10,1767,1824,0.010619,0.000000,0.979604,0.954021,0.069725,-0.069725,inf,p_lb=0,False
AEGZSPOEFGEEXIKTIPZ62HCJJILA,11,2751,3001,0.009563,0.000000,0.981709,0.957087,0.054185,-0.054185,inf,p_lb=0,False
AFLQ6X2P5FJIO6BG25LEO5BY6NUQ,12,2457,2373,0.009631,0.000000,0.979028,0.952946,0.061199,-0.061199,inf,p_lb=0,False
AF6QHJSY6N5MMHTC5L26QOTX6K3Q,13,21913,18739,0.017038,0.001746,0.982061,0.959075,0.021639,-0.020033,3129107.411157,eps_dominant,False
AE65YJ4S74KNCPHITVS2RGW6HZMA,14,2212,2875,0.013636,0.000000,0.980941,0.957087,0.055359,-0.055359,inf,p_lb=0,False
AE5ENPQDNKIJMBAKVDSJOTU573YA,15,8951,10846,0.009505,0.000000,0.982363,0.958107,0.028472,-0.028472,inf,p_lb=0,False
AE5QZEEWDFEG5S46RP5DHOGQFFPQ,16,3149,3096,0.010989,0.000000,0.980649,0.958107,0.053290,-0.053290,inf,p_lb=0,False
AFDRY7B5ON4J7XFAJOTBQNWCAPPQ,17,3597,3211,0.014477,0.000000,0.981448,0.957036,0.052386,-0.052386,inf,p_lb=0,False
AGUJGT64W3FGFMJTIJBYJFPLUDAA,18,5456,6001,0.014388,0.000000,0.982283,0.959126,0.038236,-0.038236,inf,p_lb=0,False
AGAMBW4YURLNKK5KW5EDKDC2ZMOA,19,2958,2562,0.012251,0.000000,0.981658,0.956015,0.058709,-0.058709,inf,p_lb=0,False
AGHCMB24BP3XPSVIJJ24BNYUF3KQ,20,4303,5746,0.016039,0.000000,0.981647,0.958107,0.039117,-0.039117,inf,p_lb=0,False
AGT2KDRLM26MXIDQTURAONUUC3YQ,21,2480,2952,0.008322,0.000000,0.981086,0.956985,0.054638,-0.054638,inf,p_lb=0,False
AEOOVIA4OZ4YXXMOX52QKRFPI44A,22,5615,5279,0.013889,0.000000,0.981299,0.957087,0.040854,-0.040854,inf,p_lb=0,False
AFWAQN3ITXKIYH3ZEARLO7PJLINQ,23,6737,4660,0.011639,0.000000,0.981896,0.958107,0.043436,-0.043436,inf,p_lb=0,False
AFUU7IDCZCKYQN4XFG2NUS2SB4MQ,24,5592,6380,0.014898,0.000000,0.981642,0.957087,0.037162,-0.037162,inf,p_lb=0,False
AHQLV6Q4IX2WPEFGJW3HFIYXCYIQ,25,8382,8190,0.016162,0.000000,0.982467,0.960143,0.032695,-0.032695,inf,p_lb=0,False
