uid,V_u_A,n_A,n_B,chi_hat_B,chi_ub_B,C_B_LB
AHV6H47Q27APRA4MHJXBNUXX6UEA,20,44,71,0.13038229376257546,0.42294399780630565,0.5635983795530349
AHCKJN7BM7AH67UDRPN3CVNHHRTA,23,58,51,0.1380392156862745,0.4842028922067315,0.6097335482929176
AHUBGR64B3GHNP33IYL4RW6YNIGQ,23,60,55,0.13198653198653199,0.4650826850244594,0.5927528573416417
AEIJL24A6RZD6PE4LFOYLHMB5BOA,27,59,47,0.07678075855689177,0.4376813394444211,0.5340466336049297
AGAG2PQ2KCR5GMH3CMIBKCBOZQSQ,19,63,74,0.14216956682710108,0.42671435613641323,0.6710018905837396
AG2YYEC55OFZYRI6WAZ4A3267W2Q,14,53,58,0.12764670296430733,0.44905160784469667,0.534939799972405
AHUX7IEXVU62RIOMQQ773RNTZ7EQ,35,121,109,0.13387699626231736,0.3694115448625878,0.8287030655796698
AFL5V4KMZMLILUIYATP7RHN2BTUA,20,53,60,0.08870056497175141,0.40470332200371106,0.5848581866522475
AFCHDDQ4PQGOSYA66FSK4KUAOUDA,25,121,108,0.1292834890965732,0.3648180376968436,0.6689526305057687
AEPSNPZWAOSASXZW6F6GJZD4RZ6Q,26,59,51,0.14431372549019608,0.49047740201065315,0.6097335482929176
AEBRHRPGW3XTHRIST5JBCSBRV2YQ,22,59,56,0.14415584415584415,0.47124977308332205,0.5398826411842328
AEGZSPOEFGEEXIKTIPZ62HCJJILA,19,55,54,0.1453529000698812,0.4784490531078086,0.5655798297438002
AFLQ6X2P5FJIO6BG25LEO5BY6NUQ,20,56,56,0.12987012987012986,0.45696405879760776,0.5790110416470615
AF6QHJSY6N5MMHTC5L26QOTX6K3Q,54,375,324,0.15972938883155602,0.29571532386937915,0.910913563832642
AE65YJ4S74KNCPHITVS2RGW6HZMA,16,48,58,0.12462189957652753,0.44602680445691684,0.5916522758635323
AE5ENPQDNKIJMBAKVDSJOTU573YA,23,124,155,0.15877670716380393,0.3560217677920986,0.7332745124006698
AE5QZEEWDFEG5S46RP5DHOGQFFPQ,26,71,68,0.13432835820895522,0.43116126196389265,0.662303804618508
AFDRY7B5ON4J7XFAJOTBQNWCAPPQ,18,75,77,0.151742993848257,0.4325188115932476,0.7800762083553834
AGUJGT64W3FGFMJTIJBYJFPLUDAA,20,103,106,0.1852650494159928,0.4230112385430005,0.7177925093447484
AGAMBW4YURLNKK5KW5EDKDC2ZMOA,25,59,52,0.13650075414781296,0.4759421659698958,0.5512847671309347
AGHCMB24BP3XPSVIJJ24BNYUF3KQ,22,85,99,0.1908884766027623,0.4381482455459459,0.7113692173816772
AGT2KDRLM26MXIDQTURAONUUC3YQ,17,44,56,0.09610389610389611,0.42319782503137404,0.5990868734757044
AEOOVIA4OZ4YXXMOX52QKRFPI44A,34,104,103,0.1102227298686465,0.3525857808914017,0.6875481944825776
AFWAQN3ITXKIYH3ZEARLO7PJLINQ,24,94,74,0.10699740836727138,0.39154219767658355,0.6551919915722424
AFUU7IDCZCKYQN4XFG2NUS2SB4MQ,26,110,128,0.19438976377952755,0.4107420616048132,0.753836517611057
AHQLV6Q4IX2WPEFGJW3HFIYXCYIQ,33,151,153,0.22291021671826625,0.42144870143894725,0.816125009160727
AGKBFSXT5MSPV2DLOXJ52CES22EA,38,346,310,0.1396179141872847,0.2786405921598763,0.8241717019056796
AET3XU3MM3F7EIVNMOR3L3WGA2LQ,24,87,67,0.14880144730890998,0.450098254237348,0.7119581267464503
AG4DR3M7IIZN3Y3YCCSSW3BJZL7Q,21,57,52,0.12217194570135746,0.46161335752344035,0.5725168389739189
AHGIDR4IJFS23Q4GTZ33FI5LYDSQ_1,104,1959,1969,0.1130392011131894,0.16821567587764782,0.9066688897475788
AEX2FAB4OAZBA2MWYMQPDZBYWD3Q,40,216,197,0.1410442349528644,0.3158832942872084,0.8239575489721223
AESVYYXWEFTU2N53XMDLBA45DDYA,29,131,118,0.13428943937418514,0.3596227997107676,0.8075342274001257
AFAQXBR4VC67CCGJBTSIXE2TASMQ,23,62,48,0.1702127659574468,0.5235145888578525,0.5422702516062894
AHK2L4IXTHN63SWGMDGQERGEUP2A,17,51,51,0.13019607843137254,0.4763597549518296,0.5018827343627887
AGWGWBQWVHYNPPXU2MGPT55CCUDQ,25,86,87,0.13071371291098638,0.39466104176322603,0.6487170645418534
AHL5NDZ4IEYIQJVI2PZ66LORSVHQ,29,107,138,0.13551253570295144,0.34387858322905884,0.7794036599171795
AF42QWADO6J4PFNPBK3OX26TMW5A,20,56,66,0.11561771561771562,0.41691452254615363,0.47198295207606744
AEX7WYICU67C57WTXC4HTJEKRYEA,22,59,45,0.1595959595959596,0.5286076786482259,0.54077704353994
AEKD5GQ2WB55LKLFB7ECXBCXE5LQ,19,56,63,0.1817716333845366,0.49263579174531413,0.638521373596947
AEGUMA7C7RCKZZMFDM7SGENNPHEQ,24,83,83,0.15985894798707023,0.43016736594402183,0.7948752630685193
AG7ZCPDIT7UCFJYYA23SOBDVJQUA,33,86,110,0.1170975813177648,0.35048108441762715,0.8180263266185924
AEOGGJJ6BOOK4G6I4XVUWGRIFHLQ,20,57,78,0.14185814185814186,0.41901089403615277,0.686288655265838
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ,59,1032,1030,0.15785709568154585,0.23412606624611176,0.8982758577137793
AEUJ3FOUSGG2XIDTPMGI2SHTYYEQ,23,59,54,0.17540181691125087,0.5084979699491783,0.6072556800279818
AGAL7TBNIA5LBEDTLYXPUVI73EGA,19,49,54,0.08106219426974144,0.4141583473076688,0.5253792589868966
AGVAFSJVSPGXMBKR4N6PEOAXNGFA,21,59,73,0.15753424657534246,0.4460039770090567,0.6669469725343722
AF6XC4E3EQUHTIFENI7UCZZP2W3A,19,56,54,0.08944793850454227,0.42254409154246964,0.5453077325986742
AEFVTTFB7NFHCAZVLUULL3YC7WMA,36,144,123,0.1482073837131814,0.36981596915207937,0.7348386390076722
AERDCAMJOVIBWC7P3ZRCGDXSHBXQ,34,158,166,0.15129609346476816,0.3412780924076607,0.807408842889888
AFGWCEWI3OHN7FY2LMERQCWMGEDA,18,45,65,0.14423076923076922,0.4501991230658713,0.5125947916301135
AEENPBAQW2HUWECL2FQNMHE4V7LQ,25,86,77,0.12679425837320574,0.40757007611819634,0.5937000973645677
AFUW2GXCX7JQHWKDVTGDPJMHH3MA,18,57,59,0.12857977790765635,0.44998468278804565,0.5057611592104926
AH3QVJC4HE27T5C4YYQKCHTK2QJQ,26,62,40,0.14615384615384616,0.5331766021743412,0.666590331375415
AHKMC6HKGYSGHJDP5GW6RWQSTRGQ,48,405,388,0.16721276539066038,0.29147828327814723,0.86465149011826
AFUMSQC45PQBCIMVH52XX4YMAO7A,9,47,57,0.19548872180451127,0.5225826507319892,0.6885100653153211
AHUCKCTVD7WAARGGJSAVNYJ7XNQA,44,295,255,0.14874170140497145,0.3023269972468922,0.8529957045516713
AHKJSKH6YVZBHB4RWPMNZ35XTSWA,24,74,47,0.13691026827012026,0.4978108491576496,0.5573789001307583
AH5QXFJMHWDY4JTLDXHX7D7CP4UQ,22,76,87,0.1045175086875167,0.36846483753975634,0.5974126680135976
AFYGP4P2LGVKLJSWQBS2UQUNMRTQ,24,129,124,0.12509834775767112,0.34491250216242564,0.8484263195235853
AFX5IGBDCJTOVQYLRYGN5CIRNXQQ,24,65,65,0.2,0.5059683538351021,0.6305683180015698
AHUPEIJQN2Q4QVUFILFTMR7EMJ7Q,22,65,41,0.1402439024390244,0.5272666584595194,0.613334395926481
AGSL6AZFE33KNFOXBRS46SYVPOKQ,21,58,46,0.19903381642512077,0.5599343973126502,0.6499958464343762
AGG6GW3UXEHSKNM42L5S53HKF4VA,19,51,50,0.14857142857142858,0.4947351050918856,0.5360430080307526
AHK246ZALZYM5VHTAYNN3NZNDPIA,18,58,50,0.10122448979591837,0.4473881663163754,0.412814626846398
AGI7VGGY6KHYC3RL2LFTHFYHLSGQ,23,66,87,0.14862336273723603,0.4125706915894757,0.5724531435244369
AFHRBFA4AXNH4BI2WYWQNSSUXLNQ,23,59,57,0.19736842105263158,0.5244623499801095,0.6459764496621503
AGZYQI6JEAM6SRESPT47MFZTH5YQ,13,48,59,0.21098772647574518,0.5323926313561345,0.6979817325134463
AHBWIJ4QQRF42MJW4FKDCG7TOTJQ,22,56,50,0.061224489795918366,0.4073881663163754,0.5801946695959669
AELDZFZBYIQM2S7GTSUJYQFB4LRA,23,66,52,0.21644042232277527,0.5558818341448581,0.6858421750778491
AE4DGEQFZNLTIUBHZLR4UGIBPCKQ,21,69,56,0.14415584415584415,0.47124977308332205,0.5207874240069754
AFCZZIKMW5WVWXQVPWCQFLXF2YJA,22,51,58,0.14216575922565033,0.46357066410603964,0.6721062867460526
AG4F2ZYQNVQG7M6GYNFPTV72IR6Q,26,75,82,0.10569105691056911,0.3759994748675207,0.6158304855979284
AEE3T6A7BRUSROQJ3OXHFXVJINSQ,22,57,53,0.15021770682148042,0.48965911864356326,0.6911218122404608
AFJQ7PUOS5R665KP35G6XAQJ7OOA,18,91,99,0.1370851370851371,0.3843449060283207,0.6994629030844454
AHLERJU22LDSKSBOBPFQSQDZ6UVQ,21,50,51,0.14431372549019608,0.49047740201065315,0.6326842387742619
AFULMP5FW2Q3ONUCFOKVURLJNWSA,19,73,76,0.2150877192982456,0.4958635370432362,0.7266912370439268
AHUWQT5AKAF6WGOBNGDXSH5QLBXQ,26,100,92,0.16196846631629241,0.41716371439602856,0.7990941652759639
AG3AOFIHO3UGRYIVDWWB4VQQXZRQ,29,88,82,0.1583860283047275,0.4286944462616791,0.7149453447474956
AFJWF2QUDYVVTT5Q6UTEBR5SNENQ,36,147,121,0.18154269972451792,0.4049903920954615,0.7504442259298365
AGNWFBNXATPJXGLZ24PZ42I47Q6A,35,139,149,0.1436604389624524,0.34486398903436444,0.7624352524539011
AHID5S4JG4RV2QIELUKZX4VYTJ3Q,23,81,89,0.1404494382022472,0.4013801270814098,0.7355922142325941
AFPM4D74WWLFUJC7UGYUBK5FY4KQ,34,143,135,0.10934217799889441,0.3207952980830945,0.7135238850919079
AEF2IJS3DKNREFZSMNYOEP2IHQCQ,20,59,58,0.147005444646098,0.4684103495264873,0.5724451086946694
AGPWOAP6AQMZBGXGAMONUTG6MUPQ,19,51,57,0.15162907268170425,0.47872300160918213,0.5279666876087183
