uid,bucket,n_sents,V_u_total,V_u_d3,V_u_d4,V_u_p3
AFZGTA2DJG652ZHZNYSNRPAJG2GQ,0,101,1060,173,391,496
AEW2XCQQH7QTXUXEIEAD4XQINHJQ,0,103,862,148,312,402
AF336LFHKFAT2ARXGUP2B25IUDEQ,0,101,739,123,253,363
AE3TR2XUR4PAO3IQAZLPQ254OTXQ,0,101,794,136,261,397
AG2Q2QBN42KMKP5OY3GPU6MLPANQ,0,100,813,152,286,375
AGZ77AU67Q5B24EQDU2ZPPGRICMA,0,100,861,145,303,413
AHUQHUKMW2VDHUHTAWQVVYYNER4Q,0,104,765,133,271,361
AGEQPZPPIJOYSM3X77DQ3IQ5TD4A,0,105,849,145,297,407
AE3RLEXEQRD2K7SCXE7HBCOMRDTA,0,104,674,119,238,317
AGCTA5FTMXTM42RIG3JUZCYJ3XSQ,0,105,311,63,105,143
AHXI6LRWN3FI2RWEFXHXSENYC66A,0,104,1159,188,399,572
AGGYJDBFHKHKTL7YZ5QA4RYUZDTQ,0,105,895,151,302,442
AGSGNSTI2FQVP2FA472PPANKG4DQ,0,101,760,133,260,367
AHCFYNLZXWHXARK6SJSQBIY3U5RA,0,100,839,147,279,413
AEG7ZYNIXB5WKB7YXNU6BBNUAS4A,0,105,1170,188,418,564
AGHYDPVLKBYDXTPJQCLDQLESK7LQ,0,103,838,142,276,420
AFNGDYKFPMNYHOLW3NA5MZVNH2YQ,0,100,603,104,198,301
AERZA2PMTCZCBSZAR6GATANJB3QA,0,100,764,132,258,374
AHFCHDSPGTU44DGNSEG35DZI5OPA,0,102,938,166,318,454
AE6KH7MCDOWZY7BEPTRSGJYRHLPA,0,102,927,157,322,448
AET3HBH7XFS3TB22INRW6VAXR5CQ,0,104,636,116,230,290
AHA3DNMQOCMQGOK6RYLBYFTW7OWA,0,103,840,135,288,417
AG3RPMHL2RU5CPZSOAJ5CFNKXUDA,0,105,939,147,325,467
AGEBWT6LTQS44RBUSRT5YWGNABGQ,0,100,658,109,225,324
AFXYY6I45UYTMLLLUFJZX6YFWAFQ,0,100,827,149,298,380
AH6EUO4QSQBUFNDUGEQEOYO3DBEA,0,102,805,133,277,395
AHD74CISOKM7L6YTYKY4GN2CAIWA,0,103,801,137,287,377
AEYUU6URP6TMM4B4MY2Q4DSPSRZA,0,104,1022,161,367,494
AEQQFXTK3EE4OM2ZVE6MVDR4RZFQ,0,103,555,99,193,263
AF426CEAYWNEUOCWGK7ZAAD7GYZA,0,100,700,115,239,346
AEILG76DNJ24BKXXDGEOZYMTM6FQ,1,110,692,110,213,369
AHVYEGMH66T7GGYPUNFLF5YKWP4Q,1,106,782,129,259,394
AEY4MJXI33M7Z5PXZG7QI76OJFCA,1,111,612,101,210,301
AGQ3ORY46EQE7VBJEDD3SKUL536Q,1,110,1117,190,402,525
AFVIKCEGFX2QTEQGLLM7KAGE5WRA,1,111,869,152,304,413
AEP2BCSP2ZGM43QEZ6ROUD4LU6SA,1,108,819,146,293,380
AFTP4CS3L7FXZ45SXX553REC3MFA,1,109,1026,166,351,509
AFAK7NZ77T2ZVYBFTUDUE6SA3O2A,1,110,959,168,337,454
AGI6YCJPJXN632RE2AIFQ7SA55UA,1,109,823,139,276,408
AFXBZTQQFKBDOGT2NSQVEE5VHKCQ,1,108,688,116,241,331
AHHJ4BPQ5TYIUPESYDW6HDSKNIAA,1,111,1002,173,345,484
AFCFX34G3LQLDXEEBCPWSX5RRYYA,1,111,700,116,253,331
AF2KWXX365N4EN25OGZ2J3AJ46UQ,1,110,1049,182,367,500
AEKNUVZ54GHK35OSOD3TI75BQDGQ,1,108,959,157,305,497
AHXFDISHJCHQZRESFA3SIAR6GVMA,1,107,1176,193,435,548
AHNNHOY7YG6U7QQYTUAJKPHF2NHA,1,107,746,131,266,349
AF35KUQK45LLCSVCNP7SWL7THESA,1,109,780,137,263,380
