uid,x_16_KS_stat,x_16_NLL_test,x_16_kappa,x_16_lambda_min,x_16_n_profile,x_16_n_test,x_16_tr,x_20_KS_stat,x_20_NLL_test,x_20_kappa,x_20_lambda_min,x_20_n_profile,x_20_n_test,x_20_tr,x_24_KS_stat,x_24_NLL_test,x_24_kappa,x_24_lambda_min,x_24_n_profile,x_24_n_test,x_24_tr,x_28_KS_stat,x_28_NLL_test,x_28_kappa,x_28_lambda_min,x_28_n_profile,x_28_n_test,x_28_tr,x_32_KS_stat,x_32_NLL_test,x_32_kappa,x_32_lambda_min,x_32_n_profile,x_32_n_test,x_32_tr
AE23NZUELB4BYWLHKWJXAS73PTSQ,0.05684966079373449,-0.6003049997802934,1045.8590383631915,0.008204988154419295,255,249,8.58126102096234,0.05690781352896168,-4.241837981015816,1676.1730573429343,0.005137415629026267,255,249,8.611197661746331,0.05692878868760154,-8.525672496511982,2407.899526102834,0.0035859351558451508,255,249,8.634571562395031,0.05695457546238619,-14.284132893165053,3842.7852279663352,0.002250256862020232,255,249,8.647253828501228,0.05696664469743551,-20.161282746666327,6775.560553169796,0.001277494231025962,255,249,8.65573951864149
AE23ZBUF2YVBQPH2NN6F5XSA3QYQ,0.05784376362217647,-0.11431191761097974,1002.0466108644448,0.008640388636651867,597,590,8.658072149908664,0.05783186745588631,-3.980534644526202,1282.1025331726435,0.006779217503255262,597,590,8.691651933851894,0.05786902213547879,-8.347246111161699,1980.868651836382,0.004399477209047419,597,590,8.714786487870649,0.05786396183310494,-13.809228299231993,3657.7942519577045,0.0023862451060747973,597,590,8.728393632762597,0.057868577683115374,-20.12256132460881,6028.5504141668225,0.001449401697964768,597,590,8.737791206559598
AE2B5CUQIA5ULZCR34UOPOXROEPA,0.04679549567542729,-0.1420629073211625,937.7759449406258,0.010293074030791423,708,692,9.652597225569242,0.04676737919219376,-4.051554816141583,1511.9204619096543,0.006406470451208159,708,692,9.686073763801192,0.04677079784847771,-8.528028706914835,1949.8560460701149,0.004980081952459933,708,692,9.710442904928662,0.046787642571567645,-14.125965044081378,3488.1442416995314,0.0027879249678231847,708,692,9.724684422802794,0.04680057448632524,-20.443663130685575,6752.296445330461,0.0014417215047457786,708,692,9.734930991651405
AE2GO5B2SWCBHIYMOE45YWL7RQHA,0.11449305159682321,1.1481574176547622,1748.6557120640718,0.009428476110475594,262,292,16.48715860664279,0.11422440180158766,-2.4481023813295577,2337.639519300455,0.007071555360987702,262,292,16.530747274765847,0.11411857392612701,-6.819609345600379,3688.470726022032,0.004489608758024437,262,292,16.559790475265267,0.11411821713434933,-11.955297072264463,6521.515763254472,0.00254172526156513,262,292,16.575901359159094,0.11411719028036837,-17.972643095295293,9779.353189716643,0.0016961376074337525,262,292,16.587128721455624
AE2RWATLMMUSX7TMKKCP2DYHDCWQ,0.0717664379385261,-1.0087499757137626,820.3535473260868,0.009104865882410463,216,235,7.469209024563684,0.0717279278304368,-4.554730251980291,1374.666769408494,0.005457384265146261,216,235,7.502084797189358,0.07170126477807404,-8.91534182530907,2116.3476044927243,0.0035558486762655907,216,235,7.525411827953308,0.07168296787847606,-14.13385275388913,3449.675266893486,0.002185672622463434,216,235,7.539860787238332,0.07167373269043231,-20.371391225313516,4975.066126226924,0.001517564882176308,216,235,7.549985639666904
AE2SW5HC66P6DJEXCZJN7IID6ZIA,0.10508209203717289,-0.6648651475797276,1376.1382154126557,0.006062375384615653,132,130,8.342666442946596,0.1050837449133778,-4.4176912518970735,2192.3277090713595,0.0038189500514182735,132,130,8.372390017283774,0.10508530031978991,-8.938527420664954,2600.5810354772225,0.003227978306955316,132,130,8.394619167999867,0.10499473816253213,-14.489439787620533,4926.27718691108,0.0017064455123961399,132,130,8.406423598423892,0.10501170105130686,-20.301793786110206,8420.538414091823,0.0009993918657632181,132,130,8.415417596390077
AE2YCIHHZH57ABZB7EWDTCF3WPKA,0.06031569437658535,0.5270435905446688,1141.4593602715802,0.008425000940009615,298,295,9.616796183270838,0.06032571756296046,-3.076066193333208,1844.8180125404135,0.005231116743219558,298,295,9.650458393593185,0.06026184148175562,-7.277085088903741,2379.608694574407,0.0040663213212468715,298,295,9.676253570972346,0.06027904153824937,-12.502665713953219,3975.9392743601793,0.0024374249977541893,298,295,9.691053776878153,0.06028161951589556,-18.615479784847256,6235.848352408919,0.0015557843898071813,298,295,9.701635523882626
AE34VVFABKBA5ZFYOCL3BRUN7QVQ,0.2315853356190546,1.321430407455973,2130.8317578310534,0.005419733134430444,60,69,11.548539481813627,0.23158612059979788,-2.0717069305926272,2595.0466082360063,0.004467963558362043,60,69,11.594573677849498,0.23153396018739925,-4.355453548450328,5551.091695443968,0.0020947233824270134,60,69,11.628001572442894,0.23140842656280414,-7.311388550629618,8443.53903345063,0.0013794729922119236,60,69,11.647634055332315,0.23140036617841686,-6.787605018594635,20785.653794486487,0.0005610118085494976,60,69,11.660997227128592
AE35OPCE4E5LOQAODQT5QTD5SFIQ,0.04776530877242735,-0.09483421420443232,956.1235097072482,0.008961341727201975,397,353,8.568149503898367,0.047750114011072875,-3.9118210800291493,1351.4168050419978,0.006365934860014006,397,353,8.603031349625606,0.047689360004994685,-8.386051012737477,2027.0440027044187,0.004255456897338702,397,353,8.625998382517569,0.047682308162424136,-13.721468766899488,3521.7598562605554,0.0024533404414112635,397,353,8.640075880302739,0.04768383839800372,-19.877661341372928,5439.652691292528,0.0015902902410296692,397,353,8.650626589553283
AE3LFNXIKCQ2EU7IKXHEEZB4VHYQ,0.048949235070873676,-0.05711074919054223,995.3252733675664,0.008420316980300208,288,281,8.380954300258866,0.04895796976940592,-3.8883480938430317,1292.1554168272135,0.006513906955018591,288,281,8.416980156635733,0.04893914571393443,-8.1518337260784,1877.2751805942992,0.004495764895180206,288,281,8.439787855508932,0.04893218776666364,-13.56244117702908,3207.45231182563,0.0026359995124887415,288,281,8.454842730303248,0.048936311973283964,-19.78292250532874,5155.336173430159,0.001641991043549566,288,281,8.465015823259414
