uid,bucket,n_sents,V_u,x_max,x_4_lam_min_med,x_8_lam_min_med,x_12_lam_min_med,x_16_lam_min_med,x_20_lam_min_med,x_24_lam_min_med,x_28_lam_min_med,x_32_lam_min_med,x_40_lam_min_med,x_48_lam_min_med,x_64_lam_min_med
AFZGTA2DJG652ZHZNYSNRPAJG2GQ,0,101,19,16,0.08524295612269527,0.012966984658383866,0.003104639741494458,0.0007492764505015342,-1.1426383612046154e-17,-8.111746492740632e-18,-1.9322766635223173e-17,-2.1525724418395988e-17,-4.2773409897597484e-17,-4.1593714402929e-17,-4.094652807301149e-17
AEW2XCQQH7QTXUXEIEAD4XQINHJQ,0,103,17,16,0.07072469543369003,0.013165374982447143,0.002089156069285999,4.605508258562997e-05,-2.2237106933224294e-17,-1.7482870389878898e-17,-4.484337924586697e-17,-2.4846762273146894e-17,-4.0816516936861666e-17,-4.7941508935296803e-17,-6.556293695007766e-17
AF336LFHKFAT2ARXGUP2B25IUDEQ,0,101,18,16,0.08586870784373564,0.015829147940752894,0.0019510505532449797,0.0002599844021833318,-1.354990215001682e-17,-3.51116175608389e-17,-3.16606052220783e-17,-3.167471298223377e-17,-4.5210608365163736e-17,-5.1744209872970256e-17,-5.023343983767931e-17
AE3TR2XUR4PAO3IQAZLPQ254OTXQ,0,101,25,24,0.10460750852477473,0.02149037969933853,0.003751926050619285,0.0012598203688197111,0.00042111295397143257,1.2996326550744311e-05,-1.3314429669148978e-17,-3.016189558993109e-17,-2.584780162107332e-17,-3.868034853326254e-17,-4.008418593762211e-17
AG2Q2QBN42KMKP5OY3GPU6MLPANQ,0,100,15,12,0.05978102761123416,0.008417744532303185,0.0006223731118775839,-8.101676693056933e-18,-3.3666855385839067e-17,-2.8783844218253715e-17,-1.9667304950660645e-17,-1.6865754738498776e-17,-3.9964635731782977e-17,-4.131855981359991e-17,-6.474558571548035e-17
AGZ77AU67Q5B24EQDU2ZPPGRICMA,0,100,22,20,0.09974535307874399,0.01634010229751847,0.007672210447730593,0.0009433250300191115,2.611190853815706e-05,-7.511121870203574e-18,-2.491208374085312e-17,-1.9256188290626567e-17,-3.917300345294497e-17,-3.7774243540670627e-17,-4.018630467857299e-17
AHUQHUKMW2VDHUHTAWQVVYYNER4Q,0,104,22,20,0.08491102280804523,0.012677654539959381,0.002833881183366839,0.0007931886802008918,0.00018133881038606258,-8.292556962089401e-18,-1.9103176698961174e-17,-1.1599933092529827e-17,-3.578281706064684e-17,-4.398776366595394e-17,-4.026048787014771e-17
AGEQPZPPIJOYSM3X77DQ3IQ5TD4A,0,105,19,16,0.052915035636194076,0.011924094593559859,0.0020993141297728788,0.00022345814704221686,-8.690544430646664e-18,-1.5154149403261782e-17,-2.6080830208437005e-17,-3.817235395930519e-17,-4.2141925151925937e-17,-4.101802784262455e-17,-4.90166901779215e-17
AE3RLEXEQRD2K7SCXE7HBCOMRDTA,0,104,19,16,0.07973657207790233,0.014253269184945174,0.002653855765948417,0.00016943807016745727,-3.288378040332991e-18,-1.5689310126144624e-17,-2.3589682222744786e-17,-1.937338917897541e-17,-3.6664771107788234e-17,-5.2853832018858535e-17,-5.067411397671016e-17
AGCTA5FTMXTM42RIG3JUZCYJ3XSQ,0,105,8,4,0.030382327724605612,-1.361053178928846e-17,-4.531419256531925e-17,-3.189006657919681e-17,-3.0999475815577344e-17,-6.835095079128347e-17,-3.55162052339423e-17,-3.152443696735755e-17,-6.443412473527925e-17,-7.677508970024609e-17,-6.058305502355143e-17
AHXI6LRWN3FI2RWEFXHXSENYC66A,0,104,20,16,0.07353838220693247,0.013756523462013595,0.0012420521201897553,0.000303115171512943,-4.8204695223272305e-18,-1.602178238113922e-17,-2.801590575813372e-17,-1.9705139861552456e-17,-3.986064437477173e-17,-5.362847653163744e-17,-3.946720427084547e-17
AGGYJDBFHKHKTL7YZ5QA4RYUZDTQ,0,105,19,16,0.08933422559129395,0.016673305241615515,0.0023282410390757435,0.0002792860319026257,-9.331204927429605e-18,-1.3197412090727493e-17,-2.0207839344098624e-17,-4.365237582236454e-17,-4.33812247443682e-17,-3.913859096125882e-17,-3.963185515918698e-17
AGSGNSTI2FQVP2FA472PPANKG4DQ,0,101,19,16,0.03852284907876517,0.012809503134367925,0.004883935940907643,0.0004883774603212254,2.1132929235703516e-18,-1.0211273117355177e-17,-1.7681581336946998e-17,-1.7478070206251747e-17,-4.229965349457891e-17,-4.3132093590892613e-17,-3.833399540362989e-17
AHCFYNLZXWHXARK6SJSQBIY3U5RA,0,100,18,16,0.06537111826564093,0.011394884731411483,0.0022358217912180544,1.1020487798523135e-05,-5.9647227517910675e-18,-1.773073903530096e-17,-2.063983866792325e-17,-2.880787957874271e-17,-5.648032704722653e-17,-4.8851964491411845e-17,-4.710915020792248e-17
AEG7ZYNIXB5WKB7YXNU6BBNUAS4A,0,105,20,16,0.0782276845898337,0.015996134005137407,0.00479362078504393,0.0008424562963137899,-7.316098310177412e-18,-1.557873556425469e-17,-1.8181602155638587e-17,-2.246776417058956e-17,-3.972039383465664e-17,-3.548094436299353e-17,-4.8752940430432996e-17
AGHYDPVLKBYDXTPJQCLDQLESK7LQ,0,103,23,20,0.07713368086288794,0.019226738050280266,0.0032396537319453558,0.0015340284436486766,0.0001398733237516041,-1.3957629108606043e-17,-2.0140770676087787e-17,-2.4579743713437302e-17,-4.3156073284395533e-17,-4.268486102163288e-17,-5.638880458004411e-17
AFNGDYKFPMNYHOLW3NA5MZVNH2YQ,0,100,20,16,0.07827165497571716,0.014535721363395641,0.005089472195530654,0.0008928069856554254,-3.620302077463413e-18,-1.1007946873109574e-17,-1.661094818367528e-17,-2.0176409308625155e-17,-4.075505887178845e-17,-3.9084142488621247e-17,-4.328081689323082e-17
AERZA2PMTCZCBSZAR6GATANJB3QA,0,100,10,8,0.04224703813372607,0.001492608226456273,-1.3519924580505113e-17,-2.1043466108308792e-17,-4.954224468886836e-17,-3.096782842114502e-17,-4.965952224280784e-17,-2.300411429375948e-17,-7.022469318993955e-17,-7.604298761416647e-17,-6.255016122180061e-17
AHFCHDSPGTU44DGNSEG35DZI5OPA,0,102,26,24,0.09297617976220736,0.017282606584880022,0.006506380564647777,0.003703100281036438,0.0009526651426883592,3.361198507716445e-05,-6.87917624447701e-18,-1.5439447981751668e-17,-2.919243412434461e-17,-3.989968312909509e-17,-3.768528805391011e-17
AE6KH7MCDOWZY7BEPTRSGJYRHLPA,0,102,15,12,0.08153459269307041,0.006774311254381033,0.0003666562676404567,-1.3288245472012827e-17,-2.1686782886407492e-17,-1.4449757070315104e-17,-2.3731768107864932e-17,-2.1772366462690622e-17,-4.549809662021203e-17,-4.6961804455884736e-17,-6.43987213259826e-17
AET3HBH7XFS3TB22INRW6VAXR5CQ,0,104,14,12,0.03976635834621482,0.005945691887689694,9.744190461660223e-05,-2.647100839142652e-17,-1.6719601728001404e-17,-1.8355400102597887e-17,-1.8062679229394035e-17,-3.277012432953251e-17,-4.16735938185472e-17,-5.22314144230032e-17,-5.514829747624133e-17
AHA3DNMQOCMQGOK6RYLBYFTW7OWA,0,103,21,20,0.09798407601481625,0.015639246568175343,0.00574312337649442,0.0008888353513044001,5.291853343190651e-05,-2.284992128522862e-17,-2.4006752623870908e-17,-2.7627052127349192e-17,-3.201496597726142e-17,-4.4906803880586285e-17,-4.24962491422221e-17
AG3RPMHL2RU5CPZSOAJ5CFNKXUDA,0,105,21,20,0.07001108350520513,0.015684562663747934,0.003106174785331469,0.0005161659234333648,5.057747250979915e-06,-1.058768474794934e-17,-3.141492196515311e-17,-3.749018258216758e-17,-5.31567274046681e-17,-4.3545296790456054e-17,-5.308680520244174e-17
AGEBWT6LTQS44RBUSRT5YWGNABGQ,0,100,19,16,0.08620527499725163,0.013210758583365756,0.002103935241969227,0.00028740831555132,-9.712407829170039e-18,-1.75477606655435e-17,-2.3701881959653276e-17,-2.9566346516502036e-17,-4.268501145634429e-17,-4.6972440333706036e-17,-4.464400666853325e-17
AFXYY6I45UYTMLLLUFJZX6YFWAFQ,0,100,18,16,0.06160137820582803,0.005968518699642047,0.0022049177110815476,4.957852994757976e-05,-1.0153328191879977e-17,-2.2816221710705227e-17,-2.6592682332622838e-17,-2.819661204640459e-17,-4.552646018271319e-17,-4.7609080510391796e-17,-4.178484190724614e-17
AH6EUO4QSQBUFNDUGEQEOYO3DBEA,0,102,19,16,0.09458150903172478,0.015113394154755114,0.00729194844578175,0.0007106208862924741,-1.506043758014877e-17,-2.1800986750258044e-17,-1.461016523150787e-17,-3.090502287071489e-17,-3.3459233899356467e-17,-4.482086214943317e-17,-3.9761939745151835e-17
AHD74CISOKM7L6YTYKY4GN2CAIWA,0,103,19,16,0.0648656843570783,0.017122162465597255,0.002960926487048395,0.0006462429398894568,-1.5069757442057212e-17,-1.4508070255871644e-17,-1.9716914518543615e-17,-2.0694770962325087e-17,-3.530687197631207e-17,-4.1551590011048227e-17,-5.0279798597805324e-17
AEYUU6URP6TMM4B4MY2Q4DSPSRZA,0,104,22,20,0.07573531137344941,0.014088114429150084,0.006454700961967625,0.0006189165832866159,9.19018045988609e-05,-7.374194534954423e-18,-2.1508460240569077e-17,-2.178659815233264e-17,-4.023875329967348e-17,-4.854716305118412e-17,-4.309100469496596e-17
AEQQFXTK3EE4OM2ZVE6MVDR4RZFQ,0,103,16,12,0.07292848314500651,0.011806258546970715,0.0013701689587508545,-1.1079339228696375e-18,-1.3933686339179762e-17,-1.9070716590994853e-17,-2.1775562571647747e-17,-2.5405175965879162e-17,-3.90340754069863e-17,-3.357610766225541e-17,-3.45551647987725e-17
AF426CEAYWNEUOCWGK7ZAAD7GYZA,0,100,24,20,0.13520364978459817,0.01650552711113863,0.0058068857223008636,0.002681488378850452,0.00026520538565724547,-2.4557936127842893e-19,-2.0796495443323367e-17,-1.537124344441276e-17,-3.220899334183498e-17,-3.3322879940085944e-17,-3.703880530701726e-17
AEILG76DNJ24BKXXDGEOZYMTM6FQ,1,110,22,20,0.08639927772570312,0.016961459620496944,0.004541154268311001,0.0027526345456473232,5.323185614331382e-05,-2.254275014885611e-19,-1.995025213891396e-17,-1.5688717885287298e-17,-3.3944978285438494e-17,-4.057385794233391e-17,-4.6998713903543156e-17
AHVYEGMH66T7GGYPUNFLF5YKWP4Q,1,106,13,12,0.03215515675960568,0.001130707606810475,7.811730237738933e-05,-1.5981705619510105e-17,-2.4048748086102176e-17,-2.3344084442447813e-17,-2.9586838178660266e-17,-4.3914741649375844e-17,-5.081277207187888e-17,-4.630366815102982e-17,-6.139010148658144e-17
AEY4MJXI33M7Z5PXZG7QI76OJFCA,1,111,18,16,0.07941554393215214,0.009227613774308389,0.001121783944924212,0.0001721516338030175,-6.8153470483510194e-18,-1.402624707943149e-17,-3.967610898732572e-17,-1.932693621767772e-17,-5.092192972683951e-17,-4.760048881501673e-17,-4.9178320685715714e-17
AGQ3ORY46EQE7VBJEDD3SKUL536Q,1,110,21,20,0.08997303632747217,0.022539525026773876,0.004970974296929181,0.0010943547771691785,1.4052708546567674e-05,-1.8310015331635414e-17,-1.3472087835891561e-17,-1.594438659269571e-17,-4.638182002468193e-17,-4.173847573109059e-17,-4.299925397564073e-17
AFVIKCEGFX2QTEQGLLM7KAGE5WRA,1,111,23,20,0.09890301931963072,0.019402174362180336,0.003795205101179132,0.0022858786600331357,0.00010061904331523358,-6.114043132531523e-18,-1.5698127778152167e-17,-2.0069171407328727e-17,-4.0086384420366466e-17,-3.854796210241589e-17,-4.447339546227221e-17
AEP2BCSP2ZGM43QEZ6ROUD4LU6SA,1,108,21,20,0.08242567044480259,0.011718730747048841,0.005418285620893467,0.0012781631878700918,2.1648250247107154e-06,-1.1537712949651992e-17,-2.5595581505121524e-17,-2.49078130651227e-17,-3.536721163211037e-17,-4.554163055738622e-17,-4.957742959126467e-17
AFTP4CS3L7FXZ45SXX553REC3MFA,1,109,23,20,0.105227949631209,0.022031066570977732,0.0035043730438523565,0.0018021794243645618,4.4511462733600075e-05,-2.9637359130096864e-18,-1.5088184626846977e-17,-1.4889105011912198e-17,-3.202029499860983e-17,-3.093279169672354e-17,-4.119717077023536e-17
AFAK7NZ77T2ZVYBFTUDUE6SA3O2A,1,110,18,16,0.09808513372857988,0.020453053977996394,0.002746308458157838,0.00015467450209203878,-1.308949041636945e-17,-1.786251221992435e-17,-1.6409316897813566e-17,-3.029740725220562e-17,-4.8334544121754605e-17,-3.5988503748172017e-17,-4.3690290085950967e-17
AGI6YCJPJXN632RE2AIFQ7SA55UA,1,109,22,20,0.0812491245217327,0.025376928041764658,0.004000768921280979,0.0009596613075509216,5.325184348245189e-05,-1.0093313553440973e-17,-2.1253233832723002e-17,-3.0073239732447615e-17,-3.231705379964801e-17,-4.6102374914758344e-17,-4.0791912015882053e-17
AFXBZTQQFKBDOGT2NSQVEE5VHKCQ,1,108,18,16,0.06129661695172257,0.010716844721047345,0.00121105655770569,0.00010788640583266533,-5.6015496388085e-18,-2.4377285121145132e-17,-3.2364943300184616e-17,-2.307492755465916e-17,-7.067890652234532e-17,-4.419971497357022e-17,-4.8702782911287374e-17
AHHJ4BPQ5TYIUPESYDW6HDSKNIAA,1,111,19,16,0.07573969179928307,0.016534003665329186,0.0018606949230819624,0.0004953552568527599,-3.652211761764451e-18,-9.374941894803801e-18,-2.2706141041443935e-17,-1.7207825543799882e-17,-3.9119370372012034e-17,-4.534136219427571e-17,-5.2170156420962714e-17
AFCFX34G3LQLDXEEBCPWSX5RRYYA,1,111,19,16,0.06010163810014686,0.010279477702382156,0.003539947253972409,0.0006429246519477328,-8.830786914192798e-18,-1.9944057670308034e-17,-3.232399615768003e-17,-2.3401486514720888e-17,-4.269251259242998e-17,-4.6283504590340545e-17,-6.174707875372646e-17
AF2KWXX365N4EN25OGZ2J3AJ46UQ,1,110,23,20,0.08236479942693699,0.01855175879803939,0.00628853026590196,0.0007037054278089388,4.135538886541486e-05,-4.2063785084234536e-18,-1.6319168769786867e-17,-1.2328228437143259e-17,-3.073888667853949e-17,-4.133977819749183e-17,-5.594905783887453e-17
AEKNUVZ54GHK35OSOD3TI75BQDGQ,1,108,25,24,0.09563843029148922,0.02011212144427843,0.004202877334202206,0.001987047995000374,0.00045240356299725286,4.5376038335937087e-05,-1.5617071259038317e-17,-1.5326553579889124e-17,-3.9805876052426825e-17,-3.973817370054676e-17,-4.8522649373584464e-17
