uid,V_u_A,n_A,n_B,n2_A,n2_B_point,n2_B_boot_q05,n2_B_boot_med
AHV6H47Q27APRA4MHJXBNUXX6UEA,20,44,71,6.326797385620915,7.011126564673157,5.08626876531279,6.446302101474514
AHCKJN7BM7AH67UDRPN3CVNHHRTA,23,58,51,7.127118644067796,6.454094292803971,4.295678290667205,5.818791946308725
AHUBGR64B3GHNP33IYL4RW6YNIGQ,23,60,55,7.438016528925621,6.767337807606266,4.559204525335108,6.173495099937941
AEIJL24A6RZD6PE4LFOYLHMB5BOA,27,59,47,13.544747081712059,10.370892018779344,6.402898550724637,8.836141378262052
AGAG2PQ2KCR5GMH3CMIBKCBOZQSQ,19,63,74,7.418691588785047,6.503562945368173,4.8005950317735415,6.194570135746607
AG2YYEC55OFZYRI6WAZ4A3267W2Q,14,53,58,4.1007299270073,7.008333333333332,4.708230806134608,6.287872435574933
AHUX7IEXVU62RIOMQQ773RNTZ7EQ,35,121,109,8.419206440483036,7.051038575667654,5.383082081930759,6.76980056980057
AFL5V4KMZMLILUIYATP7RHN2BTUA,20,53,60,8.917460317460316,9.625668449197862,6.101694915254237,8.372093023255815
AFCHDDQ4PQGOSYA66FSK4KUAOUDA,25,121,108,4.908146161582299,7.280898876404494,5.516721586547901,6.914051036413621
AEPSNPZWAOSASXZW6F6GJZD4RZ6Q,26,59,51,7.61706783369803,6.20763723150358,4.174291878009631,5.703974799817251
AEBRHRPGW3XTHRIST5JBCSBRV2YQ,22,59,56,6.605313092979127,6.272,4.189747858846105,5.839871275592298
AEGZSPOEFGEEXIKTIPZ62HCJJILA,19,55,54,7.185273159144892,6.204255319148937,4.249496767651159,5.820382470119522
AFLQ6X2P5FJIO6BG25LEO5BY6NUQ,20,56,56,8.711111111111112,6.8771929824561395,4.570764119601329,6.32258064516129
AF6QHJSY6N5MMHTC5L26QOTX6K3Q,54,375,324,6.821489206888186,6.16056338028169,5.291103487544887,6.073244342499153
AE65YJ4S74KNCPHITVS2RGW6HZMA,16,48,58,5.074889867841409,7.15744680851064,4.735388599003491,6.5831954656862735
AE5ENPQDNKIJMBAKVDSJOTU573YA,23,124,155,4.832181018227529,6.089987325728772,4.905738269761901,5.927709314136254
