uid,n_u,n_sents_user,rank_Y_c,n_u_minus_1,rank_deficient,sigma_max,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16
AFAQQZSNUGEJP2RYTXHYJKFVG32A,1,113,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AE6ZY3SJW5ATJ6TR3R6HZQKB3FWA,1,102,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AGOS3WGMVUTD6PZN6IKWBYIZEKFA,1,105,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AH3GEAL2D3RSOPPT4PUQ3MZ3R7EQ,1,193,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AFURFNCCY2Y6D3ZRTC4VBPTIHC6A,1,120,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AH5EINB35PM6FR4BXP2PIIEYSQIA,1,106,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AG73KPN6A7OHE4TDURUPA23EKGPA,1,168,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHIAQ67BVQTUF6HVWOF35GUQW3XQ,1,100,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AGOMZXBPLC3ZTMGI34RLOE7BAFFA,1,102,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AH4LDUPSQSGBBAV62MV7JZDD3C3Q,1,357,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHOTRV7O3LMRFLM3D3AFTMUZQZUA,1,239,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHS5OQLOPMP2YCRIWK3W6WDJ7BLQ,1,129,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AGBWD5VMK2NVIAIXF7OINPOSC46A,1,849,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHG5OUYNZPXAKJULNIA667MM5SJA,1,263,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AG2XHVLDSJXRCWTFNXKHL7B5KS3A,1,223,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AG375WAXLZ7PIOQKIQ6KQB4J3JVQ,1,2883,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AFN7XJ2HUAS7DU7XELUZKDIORBTA,1,108,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHGKNCWJ5LPSAJKK6ZBZF3W3AQ6Q,1,170,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AEA2HDZHGSH7YNGJRXBU7V3PYNOA,1,101,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHBWIJ4QQRF42MJW4FKDCG7TOTJQ,1,106,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AFREJADSLSLEMNNNUOEU33ID2XTQ,1,132,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AF3Q54U7ZTVZEF7QJ6QATK7QNDLA,1,132,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AH7BKWN5OQPMQXJ4ID2CDIUSZ5CA,1,109,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AGJCYVCTN7GIENR7XGKY5LQSEXDQ,1,115,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AGPFJ4F4XFOHAKDDX3AITBNIOCMQ,1,1555,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AFBE65EUNTT4L5B2OFQTKZMMNTCQ,1,108,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHCLVNN7XIIJQ6AMCQJ2VWXBDPGQ,1,262,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHOBH5YUOKWV6LVGXXGFQAMMXPZA,1,117,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AFVVHXC46GES3HXVII6FWLQ6X7TA,1,520,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AE33DCBS6ZICG66ETAHGQSZ5O7HQ,1,108,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AH4FH5YNNEBXKGQAXBWD5GZS6SDA,1,279,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AH6DBXMDH5UDRAIGDG25KSJ7JMNQ,1,111,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHMHS45MRB6MBCZJ7AWU2QSHHENQ,1,340,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AGI7VGGY6KHYC3RL2LFTHFYHLSGQ,1,153,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AHPDTZPJURZALWCECXNGOSQYBZXQ,1,238,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AEYFIW5EZMPHAQ3GIKWEZCYEHP5Q,1,110,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AFVAHM7UHYS562TQASNXXH6OJNTQ,1,121,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
AGTRTIJIHBZVKSNXJS5M3BNYECVQ,1,177,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0
