uid,seed,K_A,n_unique_rules_A,C_B,C_B_LB,lambda_min_A,tr_A,beta_A,v_A,lambda_min_boot_q05,B_B,c_B
AHV6H47Q27APRA4MHJXBNUXX6UEA,20260101,18,20,0.7323943661971831,0.5635983795530349,-1.8901631200475222e-17,0.8428460743801651,-7.176306763486081e-16,0.02633893982438016,-6.561678048071377e-17,71,0.36496576049915735
AHV6H47Q27APRA4MHJXBNUXX6UEA,20260202,18,20,0.7323943661971831,0.5635983795530349,-6.234537200794563e-17,0.8587293388429749,-2.3232604430894733e-15,0.026835291838842965,-6.35300887063047e-17,71,0.36496576049915735
AHV6H47Q27APRA4MHJXBNUXX6UEA,20260303,18,20,0.7323943661971831,0.5635983795530349,-1.9458396808570573e-17,0.8452350206611571,-7.366811391548784e-16,0.02641359439566116,-4.94086805799413e-17,71,0.36496576049915735
AHCKJN7BM7AH67UDRPN3CVNHHRTA,20260101,21,23,0.803921568627451,0.6097335482929176,-2.1582667329997903e-17,0.8488406658739596,-8.136336798247642e-16,0.026526270808561236,-4.840083896451524e-17,51,0.4306219954198425
AHCKJN7BM7AH67UDRPN3CVNHHRTA,20260202,21,23,0.803921568627451,0.6097335482929176,-3.150202768005354e-17,0.8935419143876331,-1.1281674306823823e-15,0.027923184824613534,-5.78018729122192e-17,51,0.4306219954198425
AHCKJN7BM7AH67UDRPN3CVNHHRTA,20260303,21,23,0.803921568627451,0.6097335482929176,-1.7575871996308036e-17,0.8495095124851364,-6.620619258712512e-16,0.026547172265160512,-6.128879649091897e-17,51,0.4306219954198425
AHUBGR64B3GHNP33IYL4RW6YNIGQ,20260101,20,23,0.7818181818181819,0.5927528573416417,-1.5616572114211105e-17,0.8668055555555553,-5.765195025018811e-16,0.027087673611111102,-4.9036990354402736e-17,55,0.41466745602860017
AHUBGR64B3GHNP33IYL4RW6YNIGQ,20260202,20,23,0.7818181818181819,0.5927528573416417,-2.298469008663329e-17,0.894236111111111,-8.225009856271353e-16,0.02794487847222222,-4.9572599130231737e-17,55,0.41466745602860017
AHUBGR64B3GHNP33IYL4RW6YNIGQ,20260303,20,23,0.7818181818181819,0.5927528573416417,-1.5259642300633686e-17,0.8704861111111108,-5.609607636323896e-16,0.027202690972222214,-4.557025669042254e-17,55,0.41466745602860017
AEIJL24A6RZD6PE4LFOYLHMB5BOA,20260101,25,27,0.7446808510638298,0.5340466336049297,-5.869711254990854e-18,0.9192760700948002,-2.0432464878623168e-16,0.028727377190462505,-3.946609594079194e-17,47,0.44857221363911987
