m_s,m_u,n_u,V_filt,n_users,rank_med,rank_mean,rank_min,rank_max,rank_deficient_n,rank_deficient_rate,E_top16_med,E_top32_med,support_16,support_20,support_24,support_32
2,2,1,20916,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,5,20916,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
2,2,10,20916,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
2,2,50,20916,1000,49.0,49.0,49,49,126,0.126,0.612,0.875,1.0,1.0,1.0,1.0
2,2,100,20916,1000,99.0,99.0,99,99,269,0.26899999999999996,0.456,0.67,1.0,1.0,1.0,1.0
2,5,1,15204,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,5,15204,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
2,5,10,15204,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
2,5,50,15204,1000,49.0,49.0,49,49,126,0.126,0.612,0.875,1.0,1.0,1.0,1.0
2,5,100,15204,1000,99.0,99.0,99,99,269,0.26899999999999996,0.456,0.67,1.0,1.0,1.0,1.0
2,10,1,12069,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,5,12069,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
2,10,10,12069,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
2,10,50,12069,1000,49.0,49.0,49,49,126,0.126,0.612,0.875,1.0,1.0,1.0,1.0
2,10,100,12069,1000,99.0,99.0,99,99,269,0.26899999999999996,0.456,0.67,1.0,1.0,1.0,1.0
2,20,1,9546,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,20,5,9546,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
2,20,10,9546,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
2,20,50,9546,1000,49.0,49.0,49,49,126,0.126,0.613,0.875,1.0,1.0,1.0,1.0
2,20,100,9546,1000,99.0,99.0,99,99,269,0.26899999999999996,0.456,0.67,1.0,1.0,1.0,1.0
5,2,1,15540,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,5,15540,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
5,2,10,15540,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
5,2,50,15540,1000,49.0,49.0,49,49,126,0.126,0.612,0.875,1.0,1.0,1.0,1.0
5,2,100,15540,1000,99.0,99.0,99,99,269,0.26899999999999996,0.456,0.67,1.0,1.0,1.0,1.0
5,5,1,15204,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,15204,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
5,5,10,15204,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
5,5,50,15204,1000,49.0,49.0,49,49,126,0.126,0.612,0.875,1.0,1.0,1.0,1.0
5,5,100,15204,1000,99.0,99.0,99,99,269,0.26899999999999996,0.456,0.67,1.0,1.0,1.0,1.0
5,10,1,12069,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10,5,12069,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
5,10,10,12069,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
5,10,50,12069,1000,49.0,49.0,49,49,126,0.126,0.612,0.875,1.0,1.0,1.0,1.0
5,10,100,12069,1000,99.0,99.0,99,99,269,0.26899999999999996,0.456,0.67,1.0,1.0,1.0,1.0
5,20,1,9546,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20,5,9546,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
5,20,10,9546,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
5,20,50,9546,1000,49.0,49.0,49,49,126,0.126,0.613,0.875,1.0,1.0,1.0,1.0
5,20,100,9546,1000,99.0,99.0,99,99,269,0.26899999999999996,0.456,0.67,1.0,1.0,1.0,1.0
10,2,1,12409,1000,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,5,12409,1000,4.0,4.0,4,4,6,0.006,1.0,1.0,0.0,0.0,0.0,0.0
10,2,10,12409,1000,9.0,9.0,9,9,15,0.015,1.0,1.0,0.0,0.0,0.0,0.0
10,2,50,12409,1000,49.0,49.0,49,49,126,0.126,0.612,0.875,1.0,1.0,1.0,1.0
