uid,bucket,n_sents,rank_Y_c,n_sents_minus_1,max_x_stable,sigma_max,sigma_at_eff_rank,energy_top1,energy_top2,energy_top4,energy_top8,energy_top16,energy_top32
AFWAQN3ITXKIYH3ZEARLO7PJLINQ,6,168,140,167,140,21.95466015459581,1.667903838710202e-14,0.05260045666199489,0.09385809451840563,0.16300997830714078,0.26916990683708114,0.41100821135785764,0.5923449185345648
AERDCAMJOVIBWC7P3ZRCGDXSHBXQ,8,324,323,323,323,26.206473156186657,1.4661065031004864e-14,0.0584868283567947,0.09439840599757897,0.14969457476011208,0.2254081259209943,0.33715613103176517,0.4806425587465759
AG4F2ZYQNVQG7M6GYNFPTV72IR6Q,5,157,156,156,156,16.751849596748656,1.2585513815344594e-14,0.05749600797514984,0.09314895680194232,0.15377948782621312,0.24607677356655977,0.38199521382036183,0.5642877924756585
AHUWQT5AKAF6WGOBNGDXSH5QLBXQ,7,192,189,191,189,21.171942343091526,1.2707801925823942e-14,0.06040649866201525,0.11103541455757225,0.1687631577545922,0.2583810358247184,0.3881650564739463,0.5625052510095988
AHID5S4JG4RV2QIELUKZX4VYTJ3Q,6,170,84,169,84,20.052214151127817,1.1175238728385293e-14,0.0594842731423064,0.10936874827814187,0.18657675851416872,0.30507520789497666,0.47620607795906367,0.697764425629837
AF5QVEMAHL2ZN7BTEQ2QXX6HJSMA,9,839,766,838,766,44.36160512908451,3.77032150358857e-14,0.043679386536320364,0.07333888195331117,0.10824525895451612,0.16044580678924905,0.2419628430362362,0.3513176763865734
AG6WVGUFXMF4LIAR7IDGHQV2DI5Q,2,115,114,114,114,16.990081655242257,1.8191412534889974e-14,0.06373472321197456,0.11067714576997269,0.17742540654095149,0.2810533254640026,0.4311927006732029,0.6362439875751603
AG43PBRTELK3SL3WWPB6CEKFXVPA,7,233,232,232,232,24.562573975098548,1.1601963810250764e-14,0.058957114008155696,0.09146275378070087,0.14412969048519148,0.2252347190602513,0.3432089357065104,0.5034697726386917
AEYVBSVXB2M76M3HEX4PNF7GWK2A,2,115,110,114,110,17.122776268210753,2.9913604041806646e-14,0.052580443452063585,0.09399840074934954,0.15563167630736777,0.2528515137057058,0.40725376987544953,0.6166550589895596
AFWVQJYN5QXGDXIGEQDKTJIAOFQQ,5,144,143,143,143,17.741809760410344,1.1153858423447314e-14,0.057057688362973244,0.09236482987280252,0.1532832379112101,0.24821700498094643,0.3859959332955987,0.5754257265508772
