# best_val_acc
n_sents \ z_dim,8,16,32,64
10,0.0033,0.0047,0.0047,0.0047
30,0.0047,0.0058,0.0051,0.0053
50,0.0033,0.0032,0.0043,0.0052
80,0.0038,0.0041,0.0041,0.0047
100,0.0033,0.0046,0.0041,0.0048

# separation_med
n_sents \ z_dim,8,16,32,64
10,1.3333,1.1119,1.1251,0.9701
30,0.8129,0.8290,0.5485,0.4515
50,0.6938,0.4314,0.4447,0.4265
80,0.6864,0.6766,0.6765,0.6514
100,0.5503,0.6574,0.6546,0.3942

# kappa_med
n_sents \ z_dim,8,16,32,64
10,142.3972,717.8277,1.0031,1.0047
30,4.6365,59.2021,3129.1414,1.0053
50,5.8677,5.3510,27.1205,1530.6502
80,5.0428,2.1568,2.1059,1.0185
100,3.8966,5.5585,1.5723,31.5892

# lambda_min_med
n_sents \ z_dim,8,16,32,64
10,0.0063,0.0001,0.0001,0.0000
30,0.5195,0.0079,0.0000,0.0000
50,0.0423,0.0296,0.0026,0.0000
80,0.0003,0.0002,0.0001,0.0001
100,0.0299,0.0033,0.0001,0.0006

# cond_med
n_sents \ z_dim,8,16,32,64
10,0.9691,0.0702,0.0001,0.0000
30,2.4408,0.4783,0.0869,0.0000
50,0.2449,0.1589,0.0725,0.0182
80,0.0018,0.0005,0.0003,0.0001
100,0.1175,0.0182,0.0002,0.0201

# mahalanobis_test_med
n_sents \ z_dim,8,16,32,64
10,163.7596,50729.0871,158787.6620,384713.7018
30,9.8389,35.3721,17570.5719,197111.9743
50,8.0815,22.3226,99.3817,44516.2479
80,3.9021,9.8306,21.2377,7.5397
100,6.4409,16.0180,14.7905,179.5569

