# best_val_acc
n_sents \ z_dim,8,16,32,64
10,0.0200,0.0133,0.0267,0.0200
30,0.0333,0.0311,0.0400,0.0467
50,0.0560,0.0613,0.0613,0.0547
80,0.0483,0.0567,0.0617,0.0650
100,0.0540,0.0693,0.0680,0.0747

# separation_med
n_sents \ z_dim,8,16,32,64
10,1.3387,0.8502,1.8125,1.1018
30,1.9622,1.0650,1.5354,1.5308
50,1.6390,1.3400,1.1289,0.9926
80,1.0039,1.0625,1.0950,0.9648
100,0.8964,0.9354,0.8873,0.8946

# kappa_med
n_sents \ z_dim,8,16,32,64
10,155.1287,776.7453,1.0033,1.0048
30,3.4483,12.3823,2549.3971,1.0065
50,2.4905,5.3727,52.3195,860.8141
80,2.1646,13.0046,445.6396,114.8661
100,2.7475,196.2340,77.1812,37.3607

# lambda_min_med
n_sents \ z_dim,8,16,32,64
10,0.0003,0.0000,0.0000,0.0000
30,0.5300,0.0195,0.0001,0.0001
50,0.7040,0.2295,0.0045,0.0000
80,0.5163,0.0832,0.0008,0.0001
100,0.4003,0.0035,0.0003,0.0000

# cond_med
n_sents \ z_dim,8,16,32,64
10,0.0381,0.0003,0.0000,0.0000
30,1.7744,0.2449,0.3198,0.0001
50,1.7584,1.2415,0.2412,0.0323
80,1.1224,1.0391,0.3469,0.0067
100,1.0734,0.6662,0.0280,0.0015

# mahalanobis_test_med
n_sents \ z_dim,8,16,32,64
10,163.4197,50760.9725,139560.6636,377341.6356
30,9.4860,38.2770,9480.6380,97633.4240
50,8.7213,22.3236,102.0431,18443.5134
80,8.4824,17.8524,51.8841,248.7306
100,8.8058,19.2214,44.8416,161.3192

