uid_local,n_sents,V_D3,V_P3,rank_Y
0,115,29,11,32
1,109,36,13,32
2,115,36,14,32
3,106,18,5,32
4,137,63,27,32
5,111,21,11,32
6,230,80,21,32
7,113,33,8,32
8,229,76,23,32
9,110,30,7,32
10,115,25,9,32
11,109,37,11,32
12,112,23,8,32
13,699,657,489,32
14,106,36,8,32
15,279,132,63,32
16,139,39,7,32
17,152,55,24,32
18,209,48,10,32
19,111,34,10,32
20,184,65,27,32
21,100,34,10,32
22,207,79,32,32
23,168,73,32,32
24,238,81,29,32
25,304,198,132,32
26,656,556,310,32
27,154,57,21,32
28,109,33,13,32
29,3928,3928,3928,32
30,413,214,116,32
31,249,113,59,32
32,110,26,5,32
33,102,32,8,32
34,173,44,17,32
35,245,78,26,32
36,122,36,12,32
37,104,40,15,32
38,119,27,7,32
39,166,63,34,32
40,196,60,23,32
41,135,40,14,32
42,2062,2055,2029,32
43,113,33,11,32
44,103,33,6,32
45,132,29,3,32
46,110,34,6,32
47,267,118,57,32
48,324,134,72,32
49,110,29,9,32
50,163,45,22,32
51,116,38,10,32
52,102,16,7,32
53,793,757,632,32
54,104,46,13,32
55,550,458,266,32
56,121,29,6,32
57,163,48,19,32
58,253,164,88,32
59,130,53,15,32
60,106,44,16,32
61,104,32,17,32
62,101,26,9,32
63,108,26,7,32
64,153,75,24,32
65,116,29,13,32
66,107,36,11,32
67,106,30,13,32
68,118,38,12,32
69,125,36,11,32
70,109,29,12,32
71,157,40,16,32
72,110,17,7,32
73,190,91,35,32
74,101,18,6,32
75,149,40,12,32
76,192,81,27,32
77,170,67,23,32
78,268,112,37,32
79,288,89,43,32
80,170,34,12,32
81,278,108,46,32
82,117,28,7,32
83,108,23,10,32
84,125,40,13,32
85,839,784,620,32
86,211,60,21,32
87,320,151,85,32
88,109,27,13,32
89,128,36,13,32
90,111,39,18,32
91,177,66,21,32
92,115,25,3,32
93,164,47,11,32
94,121,38,9,32
95,121,42,10,32
96,140,64,19,32
97,172,49,8,32
98,103,36,15,32
99,123,36,14,32
100,242,66,20,32
101,313,142,85,32
102,104,19,6,32
103,608,570,413,32
104,114,32,8,32
105,181,71,24,32
106,137,48,16,32
107,543,466,301,32
108,102,30,10,32
109,233,79,26,32
110,161,51,14,32
111,127,50,10,32
112,554,505,374,32
113,122,46,14,32
114,516,431,230,32
115,105,22,6,32
116,235,115,52,32
117,102,19,10,32
118,102,19,8,32
119,124,31,8,32
120,101,15,2,32
121,142,54,19,32
122,261,110,49,32
123,466,350,190,32
124,122,28,13,32
125,150,41,8,32
126,115,38,12,32
127,137,45,18,32
128,105,52,14,32
129,124,29,8,32
130,207,83,33,32
131,144,49,11,32
132,110,32,7,32
133,104,20,4,32
134,461,387,231,32
135,127,50,16,32
136,101,21,8,32
137,170,73,39,32
138,141,38,10,32
139,314,171,100,32
140,258,125,66,32
141,109,25,10,32
142,109,16,5,32
143,101,25,7,32
144,162,33,9,32
145,176,63,29,32
146,105,37,9,32
147,158,46,21,32
148,143,30,11,32
149,170,55,22,32
150,271,129,57,32
151,115,24,5,32
152,130,24,6,32
153,190,69,26,32
154,324,177,97,32
155,139,62,31,32
156,103,26,7,32
157,100,36,14,32
158,104,31,10,32
159,109,46,20,32
160,101,37,16,32
161,107,24,6,32
162,110,35,7,32
163,289,101,45,32
164,113,34,10,32
165,100,17,6,32
166,160,64,25,32
167,164,46,14,32
168,153,45,11,32
169,113,30,12,32
170,122,30,8,32
171,120,48,22,32
172,389,132,59,32
173,404,226,128,32
174,114,42,9,32
175,151,47,22,32
176,163,72,33,32
177,130,35,8,32
178,277,124,59,32
179,113,49,10,32
180,123,43,13,32
181,250,85,27,32
182,101,30,10,32
183,200,40,12,32
184,112,30,6,32
185,668,567,337,32
186,104,40,11,32
187,295,127,70,32
188,117,46,11,32
189,118,43,14,32
190,102,22,6,32
191,132,70,36,32
192,132,68,24,32
193,158,68,30,32
194,252,80,44,32
195,138,41,11,32
196,132,41,16,32
197,298,151,86,32
198,230,65,20,32
199,173,62,29,32
200,104,33,7,32
201,182,70,30,32
202,145,52,24,32
203,119,44,20,32
204,106,32,15,32
205,341,184,99,32
206,141,58,24,32
207,138,46,14,32
208,410,166,77,32
209,124,36,10,32
210,105,31,12,32
211,758,698,549,32
212,103,25,9,32
213,160,41,11,32
214,240,84,34,32
215,172,61,21,32
216,142,46,22,32
217,119,57,13,32
218,100,28,8,32
219,120,46,18,32
220,122,40,11,32
221,169,39,12,32
222,324,132,64,32
223,152,45,19,32
224,104,35,10,32
225,146,61,6,32
226,160,60,28,32
