user_id,N,mu_norm,sigma_norm,ratio_sigma_over_mu
AF7LCMKDXRTT5HLQRLC4Z7C2C2DQ,10,572.1556,268.8206,0.4698
AGZ2367HI7GZ5GRNZJFGG3VMPZLA,10,514.7014,171.2982,0.3328
AHKOEEKH4SLCLEMAR5YCS4FKMS6A,10,705.3731,166.5107,0.2361
AG3QUFIVOQ2WTVK3GPE34FDES57A,10,593.0640,266.7705,0.4498
AGV7MJIYWVS7UVMOHQW5FYIEQC3A,10,778.7815,489.7195,0.6288
AGZIBDQ3D7BRKY7DVKB76XTWV52A,10,818.4663,223.6501,0.2733
AE75H4JVORAPLLQO3MAC3FRN4MAA,10,800.0752,455.3397,0.5691
AEQCZRWLHYXFS4QI6UEORJYM4BKQ,10,769.8714,438.6100,0.5697
AE2D3KGDRDJH7G4HXN3GTND5IPLQ,10,560.9163,165.0389,0.2942
AF4DEGIQ6C7TB4CHIWRXZACZOH5Q,10,636.6094,156.7342,0.2462
AFBJTBLXC6U3IMQB4RIPPSBCORLQ,10,907.2448,287.0543,0.3164
AE6PSXRFBXPR4AHQKR2TQC56EKKQ,10,766.0605,342.1467,0.4466
AECSBI2WN54PZ6JTA3MLM6WUN47Q,10,693.8268,383.1983,0.5523
AEYKTZXAWOPJG5MGGMKBLRJR6Q3A_2,10,850.1104,433.9750,0.5105
AFZTFBCA2JGXFPHJYUOU33TJKP5Q,10,739.6351,218.2302,0.2951
AE4D7ZEYV4QNO3O44AHU7NAJCYLA,10,438.5856,171.9690,0.3921
AE5WIXDVVE4ELVZ3GTARNEEVOBKA,10,649.8115,273.4988,0.4209
AEQXZCNKESE5KNCYCQZROO7GZRKQ,10,619.9696,159.2539,0.2569
AF7ONCCYEZYUVOL3GHBGUNXRISOA,10,600.2029,392.2014,0.6534
AHCALY2KFPY6J65IJAZJQHIDAEGA,10,615.9083,228.3543,0.3708
AHGVHBZZ3SJIXLAZYKE3BUXRBW6Q,10,749.0941,320.7476,0.4282
AGKYNKDZKGZJONU6HPIMXMUTCFSQ,10,474.3838,178.2338,0.3757
AHRNMCEMAIL7GCJZV7KUAO4FJPTQ,10,709.2709,301.5560,0.4252
AF6BAP7PONMFFA5LTZZY7SN6ANDA,10,497.9796,244.9979,0.4920
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_2_1,10,622.3140,152.3376,0.2448
AEUOFJ7IEGXHNGNVGLC4BQQ7XOIA,10,504.4961,145.9059,0.2892
AHA2VLVJNU3BGAVHMXWKO7WKCGXA,10,801.6929,358.0518,0.4466
AGF6TCJ5DIUYHXKWWLFKAY2HUIXQ,10,742.2346,245.0128,0.3301
AEHTE2TSRQVOUF5DERVN3V5W7EMA,10,639.3800,331.7495,0.5189
AFNI2C3GRBCPIQOT3H66FUQYRPJQ,10,916.4988,449.0020,0.4899
AG4I7OL7GICMY4PRESVKVW4HK6TQ,10,477.7327,146.5733,0.3068
AGYTVPTJ44JFQREJVK3GIMERZADA,10,943.4612,337.7776,0.3580
AEFYY4OQWFEI5GGGONXYESM5S5BQ,10,582.4915,291.3065,0.5001
AFEAZ3JN6U6RGEXBS5RLG3GQKPOQ,10,907.0616,287.5706,0.3170
AERIK7GJLZAGV7WSQ27O6LPAEVHQ,10,654.1094,340.6802,0.5208
AGH2BA6TQ43WVJL2HXW53TOBIWPA,10,408.6865,172.7169,0.4226
AFTAXGFUHVRCHPOVABUAO25E7XUA,10,642.9242,212.1729,0.3300
AEL4PBKFH7QOW74BY4ZYRZKKRAJA,10,805.6140,309.7082,0.3844
AEP4KJDGBH6XPJKFEHPYSAPUNDBQ,10,679.7207,239.7727,0.3528
AHZTEZKKMQTPNZW3AYURV4YDN42Q,10,594.8036,249.8391,0.4200
AFJYUDW2LLMAVP2L5F7FQPYGWP6Q,10,859.6245,279.5574,0.3252
AFVAUF5XDUB2H6MA2ND3VFEO5E2Q,10,627.9984,206.4191,0.3287
AHZ4TADPCXAAIKTFERGG5YB4BNQQ,10,1006.8658,327.8368,0.3256
AGYIQYQKJSRVSDJUPW6Z5KNI3GRQ,10,751.4111,473.0895,0.6296
AGSCLYM6ICDUYZPNL2EVMDECTYVA,10,738.2335,258.3590,0.3500
AEJUJLXYEFXUHS4YQTETBDYWZUXA,10,799.1918,334.1069,0.4181
AH3T7SU7USHPJ26STB3EGNFTDPSA,10,650.6221,181.4048,0.2788
AETQ662T5IP4NC524RTVV6ZWNOBQ,10,674.5402,232.7999,0.3451
AG4ZQI4W2WQ5PF5CBX4OHHVCJH5Q,10,464.2153,287.9931,0.6204
AFPSDKWBOKQRKTD2GCKDOG5KMHJQ,10,1070.5499,465.9032,0.4352
AET7LRH6MCYVFN4IELYHTGCRPE6Q,10,956.8859,218.3141,0.2282
AED3PQGKE2MP7OA6YA7ITROMHQEQ,10,564.3208,287.2899,0.5091
AFNWEYQ6IYHI6PXIDURCBE62P2BA,10,507.2110,167.3780,0.3300
AF4UB2PGVLHK45WF7I6OED36OQDA,10,644.1962,268.3848,0.4166
AHAFS4E6NJTO64CTO5KBPTN7KF5A,10,554.1370,289.5388,0.5225
AFP2CXPW657I6PLKLC7XRPJWUFJQ,10,660.1218,254.7739,0.3859
AGUREQYPLUPVADJ46BNP2KHJT4CA,10,487.3062,224.5233,0.4607
AGNWFBNXATPJXGLZ24PZ42I47Q6A,10,645.6923,361.6763,0.5601
AEMT3I6AICC5YI7Z5G2V4LEGYKPA,10,956.4271,366.6118,0.3833
AHUWSVWSUJVHIDMX4QGBQBTYDG5Q,10,707.6947,260.4375,0.3680
AESVYYXWEFTU2N53XMDLBA45DDYA,10,706.4894,195.3699,0.2765
AED4A5D3XDKTGB566GFP7YQLSHBQ,10,634.4149,335.0561,0.5281
AG5LC5HSFYGJSK3AQGHEFHKX6ZWQ,10,841.0706,346.1931,0.4116
AED3HJLTUSJQBBK6H6726ARBBH6Q,10,557.6381,246.3637,0.4418
AGATU6QOCPNIZ3BFMXICJCKNGN2A,10,767.9227,324.4765,0.4225
AEWHLGO6FWZ4ZO7N6TX7I2FYO6EA,10,454.1362,131.3919,0.2893
AFVPNHXKNRBIA6WJV2DQBR3BUIJA,10,1078.6702,317.8988,0.2947
AFLZUVWTQ54JZIKLCEW3YIMUGHHA,10,716.6871,221.1174,0.3085
AE3RVPQUALI4HMJUOSE6YE4VVMUA,10,641.6193,396.7717,0.6184
AHDNIUCTSZAY4XEMCN3QKD6NHY4Q,10,788.9279,330.2811,0.4186
AH5DZ3X7JLNNTZU6QNP72JXJ5NQQ,10,571.2037,271.2250,0.4748
AEOYWMLWQX43VA3EE4SZAZK4AOMA,10,826.5994,288.3651,0.3489
AFO2SXNWPO3ZX5SFC226HLM65YRQ,10,584.7244,154.4990,0.2642
AEDVEEUD4NZX7NYETDDN5N3HBJEA,10,651.8419,266.2250,0.4084
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_1,10,855.7979,336.4162,0.3931
AFYVMSSEWRVG6CEOM4PF7J6SSDUA,10,438.9671,220.6714,0.5027
AHV5LMB2ZZ3QGYIYZ6RPDTL4OWBA,10,602.4535,382.9416,0.6356
AH5ESWZG6Q5ZEBQTOVP3NMJ5XYWA,10,743.3712,257.2029,0.3460
AHQQJATBFWW5TORPLQ4LQOGXKIWQ,10,886.3613,482.4849,0.5443
AFJ6BZFH6T6LBXYN5NKMBPTHRGDA,10,579.2716,164.0387,0.2832
AGAQBOI26SMK7M5KPF4PFK2S4OKQ,10,787.9687,267.1847,0.3391
AHCZ6MJHUWGYWZ3SXMD3QBBOFAPA,10,734.2121,261.9058,0.3567
AG3CK7F7NP5GM6BN6OHZJRWWF7QA,10,527.9500,235.6884,0.4464
AFR35RN5SZKFP7XCLRQLU7XDJQJA,10,839.3060,458.2949,0.5460
