user_id,N,mu_norm,sigma_norm,ratio_sigma_over_mu
AF7LCMKDXRTT5HLQRLC4Z7C2C2DQ,10,115.6318,268.8206,2.3248
AGZ2367HI7GZ5GRNZJFGG3VMPZLA,10,173.4002,171.2982,0.9879
AHKOEEKH4SLCLEMAR5YCS4FKMS6A,10,21.0187,166.5107,7.9220
AG3QUFIVOQ2WTVK3GPE34FDES57A,10,94.9452,266.7705,2.8097
AGV7MJIYWVS7UVMOHQW5FYIEQC3A,10,92.2586,489.7195,5.3081
AGZIBDQ3D7BRKY7DVKB76XTWV52A,10,131.7545,223.6501,1.6975
AE75H4JVORAPLLQO3MAC3FRN4MAA,10,113.7470,455.3397,4.0031
AEQCZRWLHYXFS4QI6UEORJYM4BKQ,10,83.7181,438.6100,5.2391
AE2D3KGDRDJH7G4HXN3GTND5IPLQ,10,127.0311,165.0389,1.2992
AF4DEGIQ6C7TB4CHIWRXZACZOH5Q,10,51.9812,156.7342,3.0152
AFBJTBLXC6U3IMQB4RIPPSBCORLQ,10,220.4458,287.0543,1.3022
AE6PSXRFBXPR4AHQKR2TQC56EKKQ,10,79.8363,342.1467,4.2856
AECSBI2WN54PZ6JTA3MLM6WUN47Q,10,13.3442,383.1983,28.7165
AEYKTZXAWOPJG5MGGMKBLRJR6Q3A_2,10,163.6491,433.9750,2.6519
AFZTFBCA2JGXFPHJYUOU33TJKP5Q,10,53.9654,218.2302,4.0439
AE4D7ZEYV4QNO3O44AHU7NAJCYLA,10,249.3212,171.9690,0.6897
AE5WIXDVVE4ELVZ3GTARNEEVOBKA,10,38.6703,273.4988,7.0726
AEQXZCNKESE5KNCYCQZROO7GZRKQ,10,68.4033,159.2539,2.3282
AF7ONCCYEZYUVOL3GHBGUNXRISOA,10,87.8397,392.2014,4.4650
AHCALY2KFPY6J65IJAZJQHIDAEGA,10,72.1322,228.3543,3.1658
AHGVHBZZ3SJIXLAZYKE3BUXRBW6Q,10,63.0057,320.7476,5.0908
AGKYNKDZKGZJONU6HPIMXMUTCFSQ,10,213.4352,178.2338,0.8351
AHRNMCEMAIL7GCJZV7KUAO4FJPTQ,10,25.5938,301.5560,11.7824
AF6BAP7PONMFFA5LTZZY7SN6ANDA,10,189.7793,244.9979,1.2910
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ_2_2_1,10,65.8841,152.3376,2.3122
AEUOFJ7IEGXHNGNVGLC4BQQ7XOIA,10,183.3532,145.9059,0.7958
AHA2VLVJNU3BGAVHMXWKO7WKCGXA,10,114.9700,358.0519,3.1143
AGF6TCJ5DIUYHXKWWLFKAY2HUIXQ,10,56.0270,245.0128,4.3731
AEHTE2TSRQVOUF5DERVN3V5W7EMA,10,49.1473,331.7496,6.7501
AFNI2C3GRBCPIQOT3H66FUQYRPJQ,10,229.8346,449.0020,1.9536
AG4I7OL7GICMY4PRESVKVW4HK6TQ,10,210.0797,146.5733,0.6977
AGYTVPTJ44JFQREJVK3GIMERZADA,10,256.6473,337.7776,1.3161
AEFYY4OQWFEI5GGGONXYESM5S5BQ,10,105.6877,291.3065,2.7563
AFEAZ3JN6U6RGEXBS5RLG3GQKPOQ,10,220.2715,287.5706,1.3055
AERIK7GJLZAGV7WSQ27O6LPAEVHQ,10,35.3930,340.6802,9.6256
AGH2BA6TQ43WVJL2HXW53TOBIWPA,10,279.0935,172.7169,0.6188
AFTAXGFUHVRCHPOVABUAO25E7XUA,10,45.7033,212.1729,4.6424
AEL4PBKFH7QOW74BY4ZYRZKKRAJA,10,118.9808,309.7082,2.6030
AEP4KJDGBH6XPJKFEHPYSAPUNDBQ,10,14.2567,239.7727,16.8182
AHZTEZKKMQTPNZW3AYURV4YDN42Q,10,93.2383,249.8391,2.6796
AFJYUDW2LLMAVP2L5F7FQPYGWP6Q,10,172.8011,279.5574,1.6178
AFVAUF5XDUB2H6MA2ND3VFEO5E2Q,10,60.3334,206.4191,3.4213
AHZ4TADPCXAAIKTFERGG5YB4BNQQ,10,320.0130,327.8368,1.0244
AGYIQYQKJSRVSDJUPW6Z5KNI3GRQ,10,65.3491,473.0895,7.2394
AGSCLYM6ICDUYZPNL2EVMDECTYVA,10,52.8453,258.3590,4.8890
AEJUJLXYEFXUHS4YQTETBDYWZUXA,10,112.3320,334.1069,2.9743
AH3T7SU7USHPJ26STB3EGNFTDPSA,10,38.2686,181.4048,4.7403
AETQ662T5IP4NC524RTVV6ZWNOBQ,10,17.0990,232.7999,13.6148
AG4ZQI4W2WQ5PF5CBX4OHHVCJH5Q,10,223.6514,287.9931,1.2877
AFPSDKWBOKQRKTD2GCKDOG5KMHJQ,10,383.7237,465.9032,1.2142
AET7LRH6MCYVFN4IELYHTGCRPE6Q,10,269.9894,218.3141,0.8086
AED3PQGKE2MP7OA6YA7ITROMHQEQ,10,123.4849,287.2899,2.3265
AFNWEYQ6IYHI6PXIDURCBE62P2BA,10,180.5474,167.3780,0.9271
AF4UB2PGVLHK45WF7I6OED36OQDA,10,45.4163,268.3848,5.9094
AHAFS4E6NJTO64CTO5KBPTN7KF5A,10,133.7001,289.5388,2.1656
AFP2CXPW657I6PLKLC7XRPJWUFJQ,10,28.6442,254.7739,8.8944
AGUREQYPLUPVADJ46BNP2KHJT4CA,10,200.4746,224.5233,1.1200
AGNWFBNXATPJXGLZ24PZ42I47Q6A,10,43.3990,361.6763,8.3337
AEMT3I6AICC5YI7Z5G2V4LEGYKPA,10,269.4776,366.6118,1.3605
AHUWSVWSUJVHIDMX4QGBQBTYDG5Q,10,23.8807,260.4375,10.9058
AESVYYXWEFTU2N53XMDLBA45DDYA,10,23.7984,195.3699,8.2094
AED4A5D3XDKTGB566GFP7YQLSHBQ,10,53.9385,335.0561,6.2118
AG5LC5HSFYGJSK3AQGHEFHKX6ZWQ,10,154.3668,346.1931,2.2427
AED3HJLTUSJQBBK6H6726ARBBH6Q,10,130.0414,246.3637,1.8945
AGATU6QOCPNIZ3BFMXICJCKNGN2A,10,81.7882,324.4765,3.9673
AEWHLGO6FWZ4ZO7N6TX7I2FYO6EA,10,233.8038,131.3919,0.5620
AFVPNHXKNRBIA6WJV2DQBR3BUIJA,10,391.7953,317.8988,0.8114
AFLZUVWTQ54JZIKLCEW3YIMUGHHA,10,32.8701,221.1174,6.7270
AE3RVPQUALI4HMJUOSE6YE4VVMUA,10,46.9843,396.7717,8.4448
